,idx,YOUTUBE_AUTO_MOS,Depth,Detail_node
20,20,5,8,"['D 1 -> F_name: DTH  (F_Val: 10330774.74, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 34037563.53, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10330774.74, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 343937.08, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10330774.74, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 34037563.53, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 343937.08, M_Val: 11000000) Branch: trueBranch']"
21,21,5,8,"['D 1 -> F_name: DTH  (F_Val: 9431495.087, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2949908.38, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9431495.087, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 578667.76, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9431495.087, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2949908.38, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 578667.76, M_Val: 11000000) Branch: trueBranch']"
22,22,5,8,"['D 1 -> F_name: DTH  (F_Val: 4153509.918, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 4876166.66, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 4153509.918, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 835647.27, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 4153509.918, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 4876166.66, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 835647.27, M_Val: 11000000) Branch: trueBranch']"
23,23,5,8,"['D 1 -> F_name: DTH  (F_Val: 9951954.45, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2622618.81, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9951954.45, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 361845.76, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9951954.45, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2622618.81, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 361845.76, M_Val: 11000000) Branch: trueBranch']"
24,24,5,8,"['D 1 -> F_name: DTH  (F_Val: 9770906.29, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2245676.07, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9770906.29, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 193027.02, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9770906.29, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2245676.07, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 193027.02, M_Val: 11000000) Branch: trueBranch']"
25,25,5,8,"['D 1 -> F_name: DTH  (F_Val: 9770906.29, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 2245676.07, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9770906.29, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 193027.02, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9770906.29, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 2245676.07, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 193027.02, M_Val: 11000000) Branch: trueBranch']"
26,26,5,8,"['D 1 -> F_name: DTH  (F_Val: 10443743.3, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 3428869.25, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10443743.3, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 531607.24, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10443743.3, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 3428869.25, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 531607.24, M_Val: 11000000) Branch: trueBranch']"
27,27,3,8,"['D 1 -> F_name: DTH  (F_Val: 1347716.613, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 1765587115.0, M_Val: 310000000) Branch: falseBranch', 'D 3 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 4 -> F_name: DJ  (F_Val: 16007503.66, M_Val: 206000000) Branch: trueBranch', 'D 5 -> F_name: RTT  (F_Val: 1765587115.0, M_Val: 1404000000) Branch: falseBranch', 'D 6 -> F_name: DL  (F_Val: 0.0, M_Val: 0.04) Branch: trueBranch', 'D 7 -> F_name: UL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 16007503.66, M_Val: 77000000) Branch: trueBranch']"
28,28,5,8,"['D 1 -> F_name: DTH  (F_Val: 6904033.241, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 172211718.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 6904033.241, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.25, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1462940.373, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 6904033.241, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 172211718.0, M_Val: 157500000) Branch: falseBranch', 'D 8 -> F_name: DJ  (F_Val: 1462940.373, M_Val: 29000000) Branch: trueBranch']"
29,29,5,8,"['D 1 -> F_name: DTH  (F_Val: 6550998.812000001, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 179543672.7, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 6550998.812000001, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.14, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 730739.4419, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 6550998.812000001, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 179543672.7, M_Val: 157500000) Branch: falseBranch', 'D 8 -> F_name: DJ  (F_Val: 730739.4419, M_Val: 29000000) Branch: trueBranch']"
