,FEEDBACK_DATE,FEEDBACK_VALUE,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS
1251,2019-07-24 08:24:31.672000,5,5.0
1252,2019-07-24 08:24:34.496000,5,5.0
1253,2019-07-24 08:24:37.658000,5,5.0
1254,2019-07-24 08:24:40.704000,4,5.0
1255,2019-07-24 08:24:43.763000,5,5.0
1256,2019-07-24 08:24:46.907000,5,5.0
1257,2019-07-24 08:24:49.915000,5,5.0
1258,2019-07-24 08:24:52.857000,5,5.0
1259,2019-07-24 08:24:55.751000,5,5.0
1260,2019-07-24 08:24:58.470000,5,5.0
1261,2019-07-24 08:25:01.361000,5,5.0
1262,2019-07-24 08:25:04.185000,5,5.0
1263,2019-07-24 08:25:07.177000,4,4.0
1264,2019-07-24 08:25:11.066000,4,4.0
1265,2019-07-24 08:25:15.884000,3,4.0
1266,2019-07-24 08:25:18.996000,4,4.0
1267,2019-07-24 08:25:22.393000,4,4.0
1268,2019-07-24 08:25:27.989000,4,4.0
1269,2019-07-24 08:25:31.288000,4,4.0
1270,2019-07-24 08:25:36.545000,4,4.0
1271,2019-07-24 08:25:43.378000,4,4.0
1272,2019-07-24 08:25:46.942000,4,4.0
1273,2019-07-24 08:25:49.753000,4,4.0
1274,2019-07-24 08:25:52.673000,4,4.0
1275,2019-07-24 08:25:55.565000,4,4.0
1276,2019-07-24 08:26:04.187000,5,4.0
1277,2019-07-24 08:26:08.820000,5,4.0
1278,2019-07-24 08:26:12.100000,5,4.0
1279,2019-07-24 08:26:15.159000,5,4.0
1281,2019-07-24 08:26:20.908000,5,5.0
1282,2019-07-24 08:26:24.221000,5,5.0
1283,2019-07-24 08:26:27.045000,5,5.0
1284,2019-07-24 08:26:30.038000,5,5.0
1285,2019-07-24 08:26:33.799000,5,5.0
1286,2019-07-24 08:26:39.099000,5,5.0
1287,2019-07-24 08:26:41.974000,5,5.0
1288,2019-07-24 08:26:45.051000,5,5.0
1289,2019-07-24 08:26:47.993000,5,5.0
1290,2019-07-24 08:26:50.988000,5,5.0
1291,2019-07-24 08:26:54.248000,5,5.0
1292,2019-07-24 08:26:57.885000,5,5.0
1293,2019-07-24 08:27:00.895000,5,5.0
1294,2019-07-24 08:27:04.679000,5,5.0
1295,2019-07-24 08:27:09.244000,5,5.0
1296,2019-07-24 08:27:12.389000,5,5.0
1297,2019-07-24 08:27:15.569000,5,5.0
1298,2019-07-24 08:27:18.714000,5,5.0
1299,2019-07-24 08:27:21.858000,5,5.0
1300,2019-07-24 08:27:24.936000,5,5.0
1301,2019-07-24 08:27:28.248000,5,5.0
1302,2019-07-24 08:27:31.342000,5,5.0
1303,2019-07-24 08:27:34.469000,5,4.0
1304,2019-07-24 08:27:37.428000,5,4.0
1305,2019-07-24 08:27:42.737000,5,4.0
1306,2019-07-24 08:27:45.561000,5,4.0
1307,2019-07-24 08:27:48.874000,5,4.0
1308,2019-07-24 08:27:51.782000,5,4.0
1309,2019-07-24 08:27:54.689000,5,4.0
1310,2019-07-24 08:27:57.737000,5,4.0
1311,2019-07-24 08:28:15.824000,5,4.0
1312,2019-07-24 08:28:19.103000,5,4.0
1313,2019-07-24 08:28:22.231000,5,4.0
1314,2019-07-24 08:28:26.560000,5,4.0
1315,2019-07-24 08:28:29.704000,4,4.0
1316,2019-07-24 08:28:32.714000,4,4.0
1317,2019-07-24 08:28:41.286000,4,4.0
1318,2019-07-24 08:28:45.191000,4,4.0
1319,2019-07-24 08:28:48.116000,4,4.0
1320,2019-07-24 08:28:51.075000,4,4.0
1321,2019-07-24 08:29:04.837000,4,4.0
1322,2019-07-24 08:29:07.913000,5,4.0
1323,2019-07-24 08:29:10.805000,5,4.0
1324,2019-07-24 08:29:13.970000,5,4.0
1325,2019-07-24 08:29:17.047000,4,4.0
1326,2019-07-24 08:29:24.076000,4,5.0
1327,2019-07-24 08:29:29.301000,5,5.0
1328,2019-07-24 08:29:33.562000,5,5.0
1329,2019-07-24 08:29:37.501000,5,5.0
1330,2019-07-24 08:29:41.288000,5,5.0
1331,2019-07-24 08:29:44.635000,5,5.0
1332,2019-07-24 08:29:47.915000,5,5.0
1333,2019-07-24 08:29:51.161000,5,5.0
1334,2019-07-24 08:29:57.501000,5,5.0
1335,2019-07-24 08:30:06.124000,5,5.0
1336,2019-07-24 08:30:31.653000,5,5.0
1337,2019-07-24 08:30:36.269000,5,5.0
1338,2019-07-24 08:30:39.737000,5,5.0
1339,2019-07-24 08:30:42.693000,5,5.0
1340,2019-07-24 08:30:45.758000,5,5.0
1341,2019-07-24 08:30:48.797000,5,5.0
1342,2019-07-24 08:30:52.364000,5,5.0
1343,2019-07-24 08:30:55.796000,5,5.0
1344,2019-07-24 08:31:00.599000,4,5.0
1345,2019-07-24 08:31:03.812000,5,5.0
1346,2019-07-24 08:31:07.225000,5,5.0
1347,2019-07-24 08:31:10.319000,5,4.0
1348,2019-07-24 08:31:13.414000,5,4.0
1349,2019-07-24 08:31:17.897000,5,4.0
1350,2019-07-24 08:31:21.359000,5,4.0
1351,2019-07-24 08:31:24.622000,5,4.0
1352,2019-07-24 08:31:27.462000,5,4.0
1353,2019-07-24 08:31:31.622000,5,4.0
1354,2019-07-24 08:31:34.598000,5,4.0
1398,2019-07-26 08:04:01.065000,1,1.0
1418,2019-07-26 08:08:55.132000,5,5.0
1419,2019-07-26 08:09:08.286000,5,5.0
1420,2019-07-26 08:09:14.152000,5,5.0
1421,2019-07-26 08:09:18.379000,5,4.0
1422,2019-07-26 08:09:21.997000,5,4.0
1423,2019-07-26 08:09:25.804000,4,4.0
1424,2019-07-26 08:09:29.960000,4,4.0
1425,2019-07-26 08:09:34.359000,4,4.0
1426,2019-07-26 08:10:15.377000,4,5.0
1427,2019-07-26 08:10:20.072000,4,5.0
1428,2019-07-26 08:11:09.479000,5,5.0
1429,2019-07-26 08:11:26.977000,5,5.0
1430,2019-07-26 08:12:35.550000,5,5.0
1431,2019-07-26 08:12:42.787000,5,5.0
1432,2019-07-26 08:12:47.047000,5,5.0
1433,2019-07-26 08:14:05.533000,5,5.0
1434,2019-07-26 08:14:09.827000,5,5.0
1435,2019-07-26 08:14:13.345000,5,5.0
1436,2019-07-26 08:14:35.029000,5,5.0
1437,2019-07-26 08:14:47.282000,5,5.0
1438,2019-07-26 08:15:19.788000,5,5.0
1439,2019-07-26 08:15:23.760000,4,5.0
1440,2019-07-26 08:15:33.838000,5,5.0
1441,2019-07-26 08:15:39.602000,4,5.0
1442,2019-07-26 08:15:43.677000,4,5.0
1443,2019-07-26 08:16:09.392000,5,5.0
1444,2019-07-26 08:16:19.592000,4,5.0
1445,2019-07-26 08:16:32.555000,4,5.0
1446,2019-07-26 08:16:39.048000,4,5.0
1447,2019-07-26 08:16:55.056000,4,5.0
1448,2019-07-26 08:17:02.057000,5,5.0
1449,2019-07-26 08:17:07.636000,5,5.0
1450,2019-07-26 08:17:14.078000,5,5.0
1451,2019-07-26 08:17:17.712000,5,5.0
1452,2019-07-26 08:17:25.948000,5,5.0
1453,2019-07-26 08:17:34.760000,5,5.0
1454,2019-07-26 08:17:49.160000,5,5.0
1455,2019-07-26 08:17:53.132000,5,4.0
1456,2019-07-27 11:12:32.644000,3,5.0
1457,2019-07-27 11:12:37.137000,3,5.0
1458,2019-07-27 11:12:41.026000,3,5.0
1459,2019-07-27 11:12:44.967000,3,3.0
1460,2019-07-27 11:12:48.670000,3,3.0
1461,2019-07-27 11:12:52.540000,3,3.0
1462,2019-07-27 11:12:56.377000,3,3.0
1463,2019-07-27 11:13:00.215000,3,3.0
1464,2019-07-27 11:13:04.003000,3,3.0
1465,2019-07-27 11:13:08.011000,3,3.0
1466,2019-07-27 11:13:12.540000,3,3.0
1467,2019-07-27 11:13:16.158000,3,3.0
1468,2019-07-27 11:13:20.690000,3,3.0
1469,2019-07-27 11:13:26.206000,3,3.0
1471,2019-07-27 11:13:26.206000,3,3.0
1472,2019-07-27 11:13:58.536000,4,3.0
1473,2019-07-27 11:14:03.025000,3,3.0
1474,2019-07-27 11:14:08.181000,3,3.0
1475,2019-07-27 11:14:12.509000,3,3.0
1476,2019-07-27 11:14:17.107000,3,3.0
1477,2019-07-27 11:14:33.592000,3,3.0
1478,2019-07-27 11:14:37.532000,3,3.0
1479,2019-07-27 11:14:41.677000,3,3.0
1480,2019-07-27 11:14:45.782000,3,3.0
1481,2019-07-27 11:14:49.840000,4,3.0
1482,2019-07-27 11:14:53.728000,3,3.0
1483,2019-07-27 11:14:57.718000,3,3.0
1484,2019-07-27 11:15:02.520000,3,3.0
1485,2019-07-27 11:15:07.136000,3,3.0
1486,2019-07-27 11:15:11.125000,3,3.0
1487,2019-07-27 11:15:15.016000,3,3.0
1488,2019-07-27 11:15:23.739000,3,3.0
1489,2019-07-27 11:15:28.270000,3,3.0
1490,2019-07-27 11:15:28.270000,3,3.0
1491,2019-07-27 11:15:39.417000,3,3.0
1492,2019-07-27 11:15:50.218000,3,3.0
1493,2019-07-27 11:15:54.408000,3,3.0
1494,2019-07-27 11:18:00.677000,5,5.0
1495,2019-07-27 11:18:07.457000,5,4.0
1496,2019-07-27 11:18:25.273000,5,4.0
1497,2019-07-27 11:18:34.220000,4,4.0
1498,2019-07-27 11:18:41.406000,4,4.0
1499,2019-07-27 11:18:45.852000,4,4.0
1500,2019-07-27 11:18:50.687000,4,4.0
1501,2019-07-27 11:18:54.424000,4,4.0
1502,2019-07-27 11:19:00.120000,4,4.0
1503,2019-07-27 11:19:04.976000,4,4.0
1504,2019-07-27 11:20:23.132000,5,5.0
1505,2019-07-27 11:20:33.208000,4,5.0
1506,2019-07-27 11:20:36.473000,5,5.0
1507,2019-07-27 11:20:39.751000,5,5.0
1508,2019-07-27 11:20:53.769000,4,5.0
1509,2019-07-27 11:20:57.419000,5,5.0
1510,2019-07-27 11:21:01.562000,5,5.0
1511,2019-07-27 11:21:05.604000,5,5.0
1512,2019-07-27 11:21:08.968000,5,5.0
1513,2019-07-27 11:21:12.094000,5,5.0
1514,2019-07-27 11:21:15.309000,5,5.0
1515,2019-07-27 11:21:19.145000,5,5.0
1516,2019-07-27 11:21:22.358000,5,5.0
1547,2019-07-31 11:54:44.383000,5,5.0
1548,2019-07-31 11:54:48.896000,5,5.0
1549,2019-07-31 11:54:59.530000,5,5.0
1550,2019-07-31 11:55:19.683000,5,5.0
1551,2019-07-31 11:55:23.047000,5,5.0
1552,2019-07-31 11:55:26.192000,5,5.0
1553,2019-07-31 11:55:30.672000,4,5.0
1554,2019-07-31 11:55:34.074000,5,5.0
1555,2019-07-31 11:55:37.827000,5,5.0
1556,2019-07-31 11:55:49.169000,5,5.0
1557,2019-07-31 11:55:55.815000,5,5.0
1558,2019-07-31 11:56:01.680000,5,5.0
1559,2019-07-31 11:56:12.179000,5,5.0
1560,2019-07-31 11:56:16.340000,4,4.0
1561,2019-07-31 11:56:21.680000,4,4.0
1562,2019-07-31 11:56:25.451000,4,4.0
1563,2019-07-31 11:56:42.848000,4,4.0
1564,2019-07-31 11:56:52.282000,4,4.0
1565,2019-07-31 11:57:11.167000,4,5.0
1566,2019-07-31 11:57:38.894000,5,5.0
1567,2019-07-31 11:57:50.594000,5,5.0
1568,2019-07-31 11:57:56.397000,5,5.0
1569,2019-07-31 11:58:04.474000,5,5.0
1570,2019-07-31 11:58:17.222000,5,5.0
1571,2019-07-31 11:58:23.444000,5,5.0
1572,2019-07-31 11:58:27.147000,5,5.0
1573,2019-07-31 11:58:42.599000,5,5.0
1574,2019-07-31 11:58:46.522000,5,5.0
1575,2019-07-31 11:58:50.833000,5,5.0
1576,2019-07-31 11:59:06.272000,5,5.0
1577,2019-07-31 11:59:23.058000,3,4.0
1578,2019-07-31 11:59:27.064000,3,4.0
1579,2019-07-31 11:59:38.866000,3,4.0
1580,2019-07-31 11:59:59.797000,4,4.0
1581,2019-07-31 12:00:03.448000,4,4.0
1582,2019-07-31 12:00:12.494000,4,5.0
1583,2019-07-31 12:00:18.225000,4,5.0
1584,2019-07-31 12:00:22.351000,5,5.0
1585,2019-07-31 12:00:27.659000,5,5.0
1586,2019-07-31 12:00:31.226000,5,5.0
1587,2019-07-31 12:00:34.643000,5,5.0
1588,2019-07-31 12:00:41.759000,5,5.0
1589,2019-07-31 12:00:45.580000,5,5.0
1590,2019-07-31 12:00:49.722000,5,5.0
1591,2019-07-31 12:01:03.671000,5,5.0
1592,2019-07-31 12:01:08.286000,5,5.0
1593,2019-07-31 12:01:19.326000,5,5.0
1594,2019-07-31 12:01:26.630000,5,5.0
1595,2019-07-31 12:01:41.356000,5,5.0
1596,2019-07-31 12:01:50.367000,5,5.0
1597,2019-07-31 12:01:55.677000,5,5.0
1598,2019-07-31 12:01:59.328000,5,5.0
1599,2019-07-31 12:02:03.115000,5,5.0
1600,2019-07-31 12:02:28.137000,4,4.0
1601,2019-07-31 12:02:40.969000,4,4.0
1602,2019-07-31 12:02:47.157000,4,4.0
1603,2019-07-31 12:02:52.233000,4,4.0
1604,2019-07-31 12:02:59.702000,4,4.0
1930,2019-08-06 12:11:05.646000,5,5.0
1932,2019-08-06 12:11:12.814000,4,5.0
1935,2019-08-06 12:11:20.747000,4,5.0
1937,2019-08-06 12:11:42.216000,5,5.0
1940,2019-08-06 12:11:47.947000,5,5.0
1941,2019-08-06 12:11:57.415000,3,5.0
1942,2019-08-06 12:12:06.138000,4,5.0
1943,2019-08-06 12:12:13.290000,4,5.0
1944,2019-08-06 12:12:18.498000,2,5.0
1945,2019-08-06 12:12:23.014000,4,5.0
1946,2019-08-06 12:12:27.559000,1,5.0
1947,2019-08-06 12:12:34.340000,5,5.0
1948,2019-08-06 12:12:39.292000,3,5.0
1949,2019-08-06 12:12:45.667000,5,5.0
1950,2019-08-06 12:12:56.183000,4,5.0
1951,2019-08-06 12:13:03.152000,5,5.0
1952,2019-08-06 12:13:09.066000,5,5.0
1953,2019-08-06 12:13:15.778000,3,5.0
1954,2019-08-06 12:13:22.643000,5,5.0
1955,2019-08-06 12:13:28.427000,5,5.0
1956,2019-08-06 12:13:33.804000,3,5.0
1960,2019-08-06 12:13:39.972000,5,5.0
1962,2019-08-06 12:13:44.638000,5,5.0
1966,2019-08-06 12:13:54.073000,4,5.0
1969,2019-08-06 12:13:59.364000,4,5.0
1972,2019-08-06 12:14:08.024000,5,5.0
1975,2019-08-06 12:14:13.971000,4,5.0
1977,2019-08-06 12:14:19.567000,4,5.0
2213,2019-08-08 11:54:34.192000,5,5.0
2214,2019-08-08 11:54:47.981000,5,5.0
2215,2019-08-08 11:54:53.442000,5,5.0
2216,2019-08-08 11:54:58.936000,5,5.0
2217,2019-08-08 11:55:04.397000,3,5.0
2218,2019-08-08 11:55:09.048000,5,5.0
2219,2019-08-08 11:55:13.696000,5,5.0
2220,2019-08-08 11:55:19.867000,5,5.0
2221,2019-08-08 11:55:30.350000,5,5.0
2222,2019-08-08 11:55:35.963000,5,5.0
2223,2019-08-08 11:55:41.457000,5,5.0
2224,2019-08-08 11:55:46.225000,5,5.0
2225,2019-08-08 11:55:50.641000,5,5.0
2226,2019-08-08 11:55:55.017000,5,5.0
2227,2019-08-08 11:56:05.941000,5,5.0
2228,2019-08-08 11:56:16.487000,5,5.0
2252,2019-08-10 10:04:03.156000,5,4.0
2253,2019-08-10 11:48:12.700000,1,5.0
2254,2019-08-10 11:48:20.795000,5,5.0
