,index,FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DL,UL,DJ,UJ,DTH,UTH,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID,idx,YOUTUBE_AUTO_MOS,Depth,Detail_node
10,24,INSTAGRAM___GENERAL___MOS,1,15:55.3,84a0d1eb-3ae9-4427-a391-655d2e292d77,15:57.2,3530840,0,0,527979.49,266957.34,10238448.72,4716951.854,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,10,5,8,"['D 1 -> F_name: DTH  (F_Val: 10238448.72, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 3530840.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10238448.72, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 527979.49, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10238448.72, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 3530840.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 527979.49, M_Val: 11000000) Branch: trueBranch']"
11,25,INSTAGRAM___GENERAL___MOS,5,39:30.4,84a0d1eb-3ae9-4427-a391-655d2e292d77,39:57.9,7218490,0,0,2067237.85,2421179.95,10825911.45,4699155.631,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,11,5,8,"['D 1 -> F_name: DTH  (F_Val: 10825911.45, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 7218490.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10825911.45, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 2067237.85, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10825911.45, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 7218490.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 2067237.85, M_Val: 11000000) Branch: trueBranch']"
12,26,SPOTIFY___GENERAL___MOS,5,55:49.4,86ac0398-dca7-404a-bf79-4d23da9ec447,56:12.1,3835246.28,0,0,623187.18,495877.1,11543009.68,18944732.64,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-63,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-65,4,INRIA-interne,12,5,8,"['D 1 -> F_name: DTH  (F_Val: 11543009.68, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 3835246.28, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 11543009.68, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 623187.18, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 11543009.68, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 3835246.28, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 623187.18, M_Val: 11000000) Branch: trueBranch']"
13,27,HANGOUTS___GENERAL___MOS,4,39:59.2,84a0d1eb-3ae9-4427-a391-655d2e292d77,39:33.5,13386816.86,0,0,849974.86,363695,10238686.76,6843163.345,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,13,5,8,"['D 1 -> F_name: DTH  (F_Val: 10238686.76, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 13386816.86, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10238686.76, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 849974.86, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10238686.76, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 13386816.86, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 849974.86, M_Val: 11000000) Branch: trueBranch']"
14,28,EMAIL___GENERAL___MOS,5,08:14.1,9a1161bd-9140-4c42-af7b-25f7423c73f1,08:34.1,51196364.58,0,0,791526.44,1510031.65,7699784.129,1837263.568,5,5,4G,LTE,1377299,49803,11,20810,fr,-111,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,inf,2147483647,<unknown ssid>,14,5,8,"['D 1 -> F_name: DTH  (F_Val: 7699784.129, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 51196364.58, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 7699784.129, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 791526.44, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 7699784.129, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 51196364.58, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 791526.44, M_Val: 11000000) Branch: trueBranch']"
15,29,YOUTUBE___VIDEO_PLAYBACK___S_144___MOS,5,42:02.6,aebcc31b-34b5-4fef-bd52-d8fab9cfb9ed,41:53.8,20748800,0,0,1717010.99,1172015.81,9591643.644,2002063.324,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>,15,5,8,"['D 1 -> F_name: DTH  (F_Val: 9591643.644, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 20748800.0, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9591643.644, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1717010.99, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9591643.644, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 20748800.0, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1717010.99, M_Val: 11000000) Branch: trueBranch']"
16,30,INSTAGRAM___GENERAL___MOS,5,42:06.4,d2b26cdd-5361-4d1b-bfe2-a26a6cd58b82,41:54.8,55369281.68,0,0,1886329.74,1787385.84,9838270.616,14514902.36,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-85,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-70,4,INRIA-interne,16,5,8,"['D 1 -> F_name: DTH  (F_Val: 9838270.616, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 55369281.68, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9838270.616, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 1886329.74, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9838270.616, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 55369281.68, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 1886329.74, M_Val: 11000000) Branch: trueBranch']"
17,31,NETFLIX___GENERAL___MOS,5,52:21.7,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,52:06.2,32170579.68,0,0,303464.71,1178226,10041349.45,12625157.19,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-91,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-46,5,Error 404,17,5,8,"['D 1 -> F_name: DTH  (F_Val: 10041349.45, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 32170579.68, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 10041349.45, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 303464.71, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 10041349.45, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 32170579.68, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 303464.71, M_Val: 11000000) Branch: trueBranch']"
18,32,TELEGRAM___GENERAL___MOS,5,53:18.8,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,53:06.0,32183950.6,0,0,248586.17,1307066.82,8022137.351,9460067.506,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-93,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-49,5,Error 404,18,5,8,"['D 1 -> F_name: DTH  (F_Val: 8022137.351, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 32183950.6, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 8022137.351, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 248586.17, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 8022137.351, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 32183950.6, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 248586.17, M_Val: 11000000) Branch: trueBranch']"
19,33,SKYPE___CHAT_AUDIO_MESSAGE___MOS,5,57:30.0,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,57:22.3,35094907.31,0,0,222787.01,1337333.13,9765562.536,7560544.203,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-91,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-46,5,Error 404,19,5,8,"['D 1 -> F_name: DTH  (F_Val: 9765562.536, M_Val: 187500) Branch: falseBranch', 'D 2 -> F_name: RTT  (F_Val: 35094907.31, M_Val: 310000000) Branch: trueBranch', 'D 3 -> F_name: DTH  (F_Val: 9765562.536, M_Val: 750000) Branch: falseBranch', 'D 4 -> F_name: DL  (F_Val: 0.0, M_Val: 0.275) Branch: trueBranch', 'D 5 -> F_name: DJ  (F_Val: 222787.01, M_Val: 77000000) Branch: trueBranch', 'D 6 -> F_name: DTH  (F_Val: 9765562.536, M_Val: 3000000) Branch: falseBranch', 'D 7 -> F_name: RTT  (F_Val: 35094907.31, M_Val: 157500000) Branch: trueBranch', 'D 8 -> F_name: DJ  (F_Val: 222787.01, M_Val: 11000000) Branch: trueBranch']"
