,FEEDBACK_APP,FEEDBACK_VALUE,USER_ID,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS
155,YOUTUBE___GENERAL___MOS,3,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
156,YOUTUBE___GENERAL___MOS,3,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
157,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
158,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
159,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
160,YOUTUBE___GENERAL___MOS,5,60902e68-2e7f-421b-b16f-7f11b9069e48,233617533,0.0,0.0,1286389.64,3982891.3,333648.8332,29159.99966,4.0,5.0
161,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
162,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
163,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
164,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
167,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
168,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
169,YOUTUBE___GENERAL___MOS,3,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
170,YOUTUBE___GENERAL___MOS,4,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
171,SKYPE___GENERAL___MOS,1,60902e68-2e7f-421b-b16f-7f11b9069e48,610680373.1,0.0,0.0,3228750.14,9003153.98,472945.471,30487.506789999996,4.0,4.0
172,YOUTUBE___GENERAL___MOS,1,60902e68-2e7f-421b-b16f-7f11b9069e48,3454587282,0.0,0.0,3649125.24,22741111.16,337162.35299999994,27835.001310000003,4.0,2.0
173,YOUTUBE___GENERAL___MOS,1,60902e68-2e7f-421b-b16f-7f11b9069e48,3454587282,0.0,0.0,3649125.24,22741111.16,337162.35299999994,27835.001310000003,4.0,2.0
174,YOUTUBE___GENERAL___MOS,2,60902e68-2e7f-421b-b16f-7f11b9069e48,3454587282,0.0,0.0,3649125.24,22741111.16,337162.35299999994,27835.001310000003,4.0,2.0
175,YOUTUBE___GENERAL___MOS,1,60902e68-2e7f-421b-b16f-7f11b9069e48,3454587282,0.0,0.0,3649125.24,22741111.16,337162.35299999994,27835.001310000003,4.0,2.0
185,YOUTUBE___GENERAL___MOS,2,620624f1-35df-4afd-b833-187ed7cba840,772585294.5,0.0,0.0,5390521.5,12300922.68,90034.42122,37273.80875,4.0,5.0
186,YOUTUBE___GENERAL___MOS,3,620624f1-35df-4afd-b833-187ed7cba840,772585294.5,0.0,0.0,5390521.5,12300922.68,90034.42122,37273.80875,4.0,5.0
187,YOUTUBE___GENERAL___MOS,1,620624f1-35df-4afd-b833-187ed7cba840,772585294.5,0.0,0.0,5390521.5,12300922.68,90034.42122,37273.80875,4.0,5.0
188,YOUTUBE___GENERAL___MOS,2,620624f1-35df-4afd-b833-187ed7cba840,772585294.5,0.0,0.0,5390521.5,12300922.68,90034.42122,37273.80875,4.0,5.0
189,YOUTUBE___GENERAL___MOS,4,620624f1-35df-4afd-b833-187ed7cba840,274545845.7,0.0,0.0,2026322.9,2942427.52,94958.71482000001,62421.81767999999,4.0,5.0
190,YOUTUBE___GENERAL___MOS,4,620624f1-35df-4afd-b833-187ed7cba840,274545845.7,0.0,0.0,2026322.9,2942427.52,94958.71482000001,62421.81767999999,4.0,5.0
191,YOUTUBE___GENERAL___MOS,3,620624f1-35df-4afd-b833-187ed7cba840,274545845.7,0.0,0.0,2026322.9,2942427.52,94958.71482000001,62421.81767999999,4.0,5.0
192,YOUTUBE___GENERAL___MOS,1,620624f1-35df-4afd-b833-187ed7cba840,274545845.7,0.0,0.0,2026322.9,2942427.52,94958.71482000001,62421.81767999999,4.0,5.0
193,YOUTUBE___GENERAL___MOS,3,620624f1-35df-4afd-b833-187ed7cba840,274545845.7,0.0,0.0,2026322.9,2942427.52,94958.71482000001,62421.81767999999,4.0,5.0
214,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
215,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
216,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
217,YOUTUBE___GENERAL___MOS,3,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
218,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
219,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
220,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
221,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
222,YOUTUBE___GENERAL___MOS,3,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
223,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
224,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
225,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
226,YOUTUBE___GENERAL___MOS,3,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
227,YOUTUBE___GENERAL___MOS,3,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
228,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
229,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,1008694322,0.0,0.0,4951056.0,17621414.7,467221.2863,25927.32017,4.0,4.0
230,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
231,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
232,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
233,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
234,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
235,YOUTUBE___GENERAL___MOS,3,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
236,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
237,YOUTUBE___GENERAL___MOS,4,1802d1ed-3967-45a2-a29b-a5a0125b0ae5,168924503.8,0.0,0.0,815186.4,1738112.8,949131.4508,26957.59969,4.0,4.0
