4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEEDBACK_APP,FEEDBACK_VALUE,FEEDBACK_DATE,USER_ID,DATE,RTT,DOWNLOAD_LOSS_RATE,UPLOAD_LOSS_RATE,DOWNLOAD_JITTER,UPLOAD_JITTER,UDP_DOWNLOAD_THROUGHPUT,UDP_UPLOAD_THROUGHPUT,SKYPE___VOICE_CALL___MOS,YOUTUBE___VIDEO_PLAYBACK___P_720___MOS,NETWORK_CLASS,NETWORK_TYPE,MOBILE_GSM_CID,MOBILE_GSM_LAC,MOBILE_UMTS_PSC,MOBILE_OPERATOR,MOBILE_OPERATOR_COUNTRY_CODE,SIGNAL_STRENGTH_RSSI__dBm(0),SIGNAL_STRENGTH_LEVEL(0),IS_IN_AIRPLANE_MODE,IS_MOBILE_DATA_ENABLED,IS_ROAMING_DATA_ENABLED,IS_IN_NATIONAL_ROAMING,IS_IN_ROAMING,IS_WIFI_CONNECTED,SIGNAL_STRENGTH_RSSI__dBm(1),SIGNAL_STRENGTH_LEVEL(1),WIFI_SSID
EMAIL___GENERAL___MOS,5,08:14.1,9a1161bd-9140-4c42-af7b-25f7423c73f1,08:34.1,51196364.58,0,0,791526.44,1510031.65,7699784.129,1837263.568,5,5,4G,LTE,1377299,49803,11,20810,fr,-111,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,2147483647,<unknown ssid>
YOUTUBE___VIDEO_PLAYBACK___S_144___MOS,5,42:02.6,aebcc31b-34b5-4fef-bd52-d8fab9cfb9ed,41:53.8,20748800,0,0,1717010.99,1172015.81,9591643.644,2002063.324,5,5,4G,LTE,91,3,2147483647,310260,us,-100,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,#NAME?,-2147483648,<unknown ssid>
INSTAGRAM___GENERAL___MOS,5,42:06.4,d2b26cdd-5361-4d1b-bfe2-a26a6cd58b82,41:54.8,55369281.68,0,0,1886329.74,1787385.84,9838270.616,14514902.36,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-85,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-70,4,INRIA-interne
NETFLIX___GENERAL___MOS,5,52:21.7,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,52:06.2,32170579.68,0,0,303464.71,1178226,10041349.45,12625157.19,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-91,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-46,5,Error 404
TELEGRAM___GENERAL___MOS,5,53:18.8,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,53:06.0,32183950.6,0,0,248586.17,1307066.82,8022137.351,9460067.506,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-93,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-49,5,Error 404
SKYPE___CHAT_AUDIO_MESSAGE___MOS,5,57:30.0,b9e9b780-31e6-4bb0-97ea-26638b99e5a1,57:22.3,35094907.31,0,0,222787.01,1337333.13,9765562.536,7560544.203,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-91,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-46,5,Error 404
SKYPE___CHAT_IMAGE_MESSAGE___MOS,5,13:31.3,4d8f5198-c6e6-49b4-ac57-02c5a949638e,13:11.7,30738761.96,0,0,129933.1,1246912.31,9697205.486,10190337.24,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-95,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-59,5,Error 404
SKYPE___CHAT___MOS,5,29:17.6,b74aad70-0b99-4c4f-a932-509b36ef7b7d,29:05.8,30262684.87,0,0,99144.69,995264.61,10105063.92,10404547.18,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-95,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-62,5,Error 404
TWITTER___GENERAL___MOS,5,29:45.2,b74aad70-0b99-4c4f-a932-509b36ef7b7d,30:05.5,34037563.53,0,0,343937.08,1473468.96,10330774.74,8966571.501,5,5,UNKNOWN,UNKNOWN,86074373,3062,-1,20815,fr,-97,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-56,5,Error 404
NETFLIX___GENERAL___MOS,5,53:46.4,b74aad70-0b99-4c4f-a932-509b36ef7b7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTAGRAM___GENERAL___MOS,5,57:53.9,b74aad70-0b99-4c4f-a932-509b36ef7b7d,57:58.0,2949908.38,0,0,578667.76,212626.95,9431495.087,12785964.18,5,5,UNKNOWN,UNKNOWN,48234,29188,-1,20801,fr,-97,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-62,5,INRIA-interne
SKYPE___CHAT_VIDEO_MESSAGE___MOS,5,03:06.4,b74aad70-0b99-4c4f-a932-509b36ef7b7d,03:29.8,4876166.66,0,0,835647.27,388209.84,4153509.918,10012423.88,5,5,UNKNOWN,UNKNOWN,48234,29188,-1,20801,fr,-91,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-71,4,INRIA-interne
NETFLIX___GENERAL___MOS,5,09:55.7,2e604f35-a694-4898-b0e9-5cfbcd785fd4,10:12.1,2622618.81,0,0,361845.76,223645.97,9951954.45,11286970.24,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-73,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-69,4,INRIA-interne
VIBER___GENERAL___MOS,5,24:21.6,912525d0-1113-4b1e-9a7b-dc022ef005ba,24:39.7,2245676.07,0,0,193027.02,169245.48,9770906.29,15521064.44,5,5,UNKNOWN,UNKNOWN,86052336,3062,-1,20815,fr,-75,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,-65,4,INRIA-interne
