FB Mos 1 vs ITU_QoE,ITU_QoE_Class_1,FB MoS 2 vs IUT_QoE,IUT_QoE_Class_2,FB MoS 3 vs ITU_QoE,ITU_QoE_Class_3,FB MoS 4 vs ITU_QoE,ITU_QoE_Class_4,FB MoS 5 vs ITU_QoE,ITU_QoE_Class_5
1.642891025,1.642891025,1.994875264,1.994875264,1.956109894,1.956109894,1.642891025,1.642891025,1.82784464,1.82784464
1.642891025,1.642891025,1.994875264,1.994875264,1.956109894,1.956109894,1.642891025,1.642891025,1.82784464,1.82784464
1.642891025,1.642891025,2.06530169,2.06530169,1.956109894,1.956109894,1.650223569,1.650223569,1.82784464,1.82784464
1.642891025,1.642891025,2.088446848,2.088446848,1.956109894,1.956109894,1.676908294,1.676908294,1.82784464,1.82784464
1.642891025,1.642891025,2.115442175,2.115442175,1.970023759,1.970023759,1.676908294,1.676908294,1.82784464,1.82784464
1.642891025,1.642891025,2.115442175,2.115442175,1.976631384,1.976631384,1.701502139,1.701502139,1.872248976,1.872248976
1.642891025,1.642891025,2.115442175,2.115442175,1.976631384,1.976631384,1.701502139,1.701502139,1.872248976,1.872248976
1.642891025,1.642891025,2.115442175,2.115442175,1.994875264,1.994875264,1.701502139,1.701502139,1.872248976,1.872248976
1.650223569,1.650223569,2.115442175,2.115442175,1.994875264,1.994875264,1.701502139,1.701502139,1.872248976,1.872248976
1.650223569,1.650223569,2.115442175,2.115442175,1.994875264,1.994875264,1.707649223,1.707649223,1.872248976,1.872248976
1.650223569,1.650223569,2.115442175,2.115442175,1.994875264,1.994875264,1.707649223,1.707649223,1.876509705,1.876509705
1.65706255,1.65706255,2.135683903,2.135683903,1.994875264,1.994875264,1.707788774,1.707788774,1.876509705,1.876509705
1.65706255,1.65706255,2.135683903,2.135683903,2.013474913,2.013474913,1.708173793,1.708173793,1.876509705,1.876509705
1.687825629,1.687825629,2.135683903,2.135683903,2.013474913,2.013474913,1.708173793,1.708173793,1.876509705,1.876509705
1.687825629,1.687825629,2.139628026,2.139628026,2.022478227,2.022478227,1.708173793,1.708173793,1.876509705,1.876509705
1.687825629,1.687825629,2.158638857,2.158638857,2.024479738,2.024479738,1.720197624,1.720197624,1.876509705,1.876509705
